MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;75497472;int;18874368;7;now(), lib chrono;3,894371;4,1111237;1,84E+13;41,1112485;2,68%
SSD;75497472;int;18874368;8;now(), lib chrono;3,752933;4,1111237;1,84E+13;41,1112485;2,68%
SSD;75497472;int;18874368;9;now(), lib chrono;3,984911;4,1111237;1,84E+13;41,1112485;2,68%
SSD;75497472;int;18874368;10;now(), lib chrono;3,704103;4,1111237;1,84E+13;41,1112485;2,68%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;79691776;int;19922944;1;now(), lib chrono;4,627856;4,9227634;1,62E+13;49,2276445;3,20%
SSD;79691776;int;19922944;2;now(), lib chrono;4,74936;4,9227634;1,62E+13;49,2276445;3,20%
SSD;79691776;int;19922944;3;now(), lib chrono;4,475985;4,9227634;1,62E+13;49,2276445;3,20%
SSD;79691776;int;19922944;4;now(), lib chrono;4,487463;4,9227634;1,62E+13;49,2276445;3,20%
SSD;79691776;int;19922944;5;now(), lib chrono;5,050066;4,9227634;1,62E+13;49,2276445;3,20%
SSD;79691776;int;19922944;6;now(), lib chrono;4,955101;4,9227634;1,62E+13;49,2276445;3,20%
SSD;79691776;int;19922944;7;now(), lib chrono;5,052121;4,9227634;1,62E+13;49,2276445;3,20%
SSD;79691776;int;19922944;8;now(), lib chrono;5,944321;4,9227634;1,62E+13;49,2276445;3,20%
SSD;79691776;int;19922944;9;now(), lib chrono;4,964902;4,9227634;1,62E+13;49,2276445;3,20%
SSD;79691776;int;19922944;10;now(), lib chrono;4,920459;4,9227634;1,62E+13;49,2276445;3,20%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;83886080;int;20971520;1;now(), lib chrono;5,027749;4,8928565;1,71E+13;48,9285745;3,19%
SSD;83886080;int;20971520;2;now(), lib chrono;4,951762;4,8928565;1,71E+13;48,9285745;3,19%
SSD;83886080;int;20971520;3;now(), lib chrono;5,193895;4,8928565;1,71E+13;48,9285745;3,19%
SSD;83886080;int;20971520;4;now(), lib chrono;5,451979;4,8928565;1,71E+13;48,9285745;3,19%
SSD;83886080;int;20971520;5;now(), lib chrono;5,083391;4,8928565;1,71E+13;48,9285745;3,19%
SSD;83886080;int;20971520;6;now(), lib chrono;5,030122;4,8928565;1,71E+13;48,9285745;3,19%
SSD;83886080;int;20971520;7;now(), lib chrono;4,972605;4,8928565;1,71E+13;48,9285745;3,19%
SSD;83886080;int;20971520;8;now(), lib chrono;4,7076;4,8928565;1,71E+13;48,9285745;3,19%
SSD;83886080;int;20971520;9;now(), lib chrono;4,050682;4,8928565;1,71E+13;48,9285745;3,19%
SSD;83886080;int;20971520;10;now(), lib chrono;4,45878;4,8928565;1,71E+13;48,9285745;3,19%
