MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;4194304;int;1048576;5;now(), lib chrono;0,216308;0,2156009;1,95E+13;2,1560205;0,14%
SSD;4194304;int;1048576;6;now(), lib chrono;0,206773;0,2156009;1,95E+13;2,1560205;0,14%
SSD;4194304;int;1048576;7;now(), lib chrono;0,20515;0,2156009;1,95E+13;2,1560205;0,14%
SSD;4194304;int;1048576;8;now(), lib chrono;0,210021;0,2156009;1,95E+13;2,1560205;0,14%
SSD;4194304;int;1048576;9;now(), lib chrono;0,21588;0,2156009;1,95E+13;2,1560205;0,14%
SSD;4194304;int;1048576;10;now(), lib chrono;0,21105;0,2156009;1,95E+13;2,1560205;0,14%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;8388608;int;2097152;1;now(), lib chrono;0,433332;0,449834;1,86E+13;4,4983515;0,29%
SSD;8388608;int;2097152;2;now(), lib chrono;0,441925;0,449834;1,86E+13;4,4983515;0,29%
SSD;8388608;int;2097152;3;now(), lib chrono;0,481595;0,449834;1,86E+13;4,4983515;0,29%
SSD;8388608;int;2097152;4;now(), lib chrono;0,46455;0,449834;1,86E+13;4,4983515;0,29%
SSD;8388608;int;2097152;5;now(), lib chrono;0,462234;0,449834;1,86E+13;4,4983515;0,29%
SSD;8388608;int;2097152;6;now(), lib chrono;0,457299;0,449834;1,86E+13;4,4983515;0,29%
SSD;8388608;int;2097152;7;now(), lib chrono;0,434143;0,449834;1,86E+13;4,4983515;0,29%
SSD;8388608;int;2097152;8;now(), lib chrono;0,433974;0,449834;1,86E+13;4,4983515;0,29%
SSD;8388608;int;2097152;9;now(), lib chrono;0,444465;0,449834;1,86E+13;4,4983515;0,29%
SSD;8388608;int;2097152;10;now(), lib chrono;0,444823;0,449834;1,86E+13;4,4983515;0,29%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;12582912;int;3145728;1;now(), lib chrono;0,654048;0,6779935;1,86E+13;6,7799465;0,44%
SSD;12582912;int;3145728;2;now(), lib chrono;0,684341;0,6779935;1,86E+13;6,7799465;0,44%
SSD;12582912;int;3145728;3;now(), lib chrono;0,658379;0,6779935;1,86E+13;6,7799465;0,44%
SSD;12582912;int;3145728;4;now(), lib chrono;0,6712;0,6779935;1,86E+13;6,7799465;0,44%
SSD;12582912;int;3145728;5;now(), lib chrono;0,675824;0,6779935;1,86E+13;6,7799465;0,44%
SSD;12582912;int;3145728;6;now(), lib chrono;0,704485;0,6779935;1,86E+13;6,7799465;0,44%
SSD;12582912;int;3145728;7;now(), lib chrono;0,693832;0,6779935;1,86E+13;6,7799465;0,44%
SSD;12582912;int;3145728;8;now(), lib chrono;0,67196;0,6779935;1,86E+13;6,7799465;0,44%
SSD;12582912;int;3145728;9;now(), lib chrono;0,726513;0,6779935;1,86E+13;6,7799465;0,44%
SSD;12582912;int;3145728;10;now(), lib chrono;0,639353;0,6779935;1,86E+13;6,7799465;0,44%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;16777216;int;4194304;1;now(), lib chrono;0,880678;0,9248909;1,81E+13;9,2489215;0,60%
SSD;16777216;int;4194304;2;now(), lib chrono;0,895356;0,9248909;1,81E+13;9,2489215;0,60%
SSD;16777216;int;4194304;3;now(), lib chrono;0,87312;0,9248909;1,81E+13;9,2489215;0,60%
SSD;16777216;int;4194304;4;now(), lib chrono;0,879088;0,9248909;1,81E+13;9,2489215;0,60%
SSD;16777216;int;4194304;5;now(), lib chrono;0,872223;0,9248909;1,81E+13;9,2489215;0,60%
SSD;16777216;int;4194304;6;now(), lib chrono;0,871672;0,9248909;1,81E+13;9,2489215;0,60%
SSD;16777216;int;4194304;7;now(), lib chrono;0,968715;0,9248909;1,81E+13;9,2489215;0,60%
SSD;16777216;int;4194304;8;now(), lib chrono;1,3655;0,9248909;1,81E+13;9,2489215;0,60%
SSD;16777216;int;4194304;9;now(), lib chrono;0,878917;0,9248909;1,81E+13;9,2489215;0,60%
SSD;16777216;int;4194304;10;now(), lib chrono;0,76364;0,9248909;1,81E+13;9,2489215;0,60%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;20971520;int;5242880;1;now(), lib chrono;1,150998;1,0709267;1,96E+13;10,7092785;0,70%
SSD;20971520;int;5242880;2;now(), lib chrono;0,989689;1,0709267;1,96E+13;10,7092785;0,70%
SSD;20971520;int;5242880;3;now(), lib chrono;0,990049;1,0709267;1,96E+13;10,7092785;0,70%
SSD;20971520;int;5242880;4;now(), lib chrono;1,050618;1,0709267;1,96E+13;10,7092785;0,70%
SSD;20971520;int;5242880;5;now(), lib chrono;1,186024;1,0709267;1,96E+13;10,7092785;0,70%
SSD;20971520;int;5242880;6;now(), lib chrono;1,093666;1,0709267;1,96E+13;10,7092785;0,70%
SSD;20971520;int;5242880;7;now(), lib chrono;1,041068;1,0709267;1,96E+13;10,7092785;0,70%
SSD;20971520;int;5242880;8;now(), lib chrono;1,0209;1,0709267;1,96E+13;10,7092785;0,70%
SSD;20971520;int;5242880;9;now(), lib chrono;1,030837;1,0709267;1,96E+13;10,7092785;0,70%
SSD;20971520;int;5242880;10;now(), lib chrono;1,155418;1,0709267;1,96E+13;10,7092785;0,70%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;25165824;int;6291456;1;now(), lib chrono;1,483466;1,6082789;1,56E+13;16,0828015;1,05%
SSD;25165824;int;6291456;2;now(), lib chrono;1,538892;1,6082789;1,56E+13;16,0828015;1,05%
SSD;25165824;int;6291456;3;now(), lib chrono;1,757412;1,6082789;1,56E+13;16,0828015;1,05%
SSD;25165824;int;6291456;4;now(), lib chrono;1,632869;1,6082789;1,56E+13;16,0828015;1,05%
SSD;25165824;int;6291456;5;now(), lib chrono;1,382158;1,6082789;1,56E+13;16,0828015;1,05%
SSD;25165824;int;6291456;6;now(), lib chrono;1,783987;1,6082789;1,56E+13;16,0828015;1,05%
SSD;25165824;int;6291456;7;now(), lib chrono;1,894287;1,6082789;1,56E+13;16,0828015;1,05%
SSD;25165824;int;6291456;8;now(), lib chrono;1,909625;1,6082789;1,56E+13;16,0828015;1,05%
SSD;25165824;int;6291456;9;now(), lib chrono;1,447933;1,6082789;1,56E+13;16,0828015;1,05%
SSD;25165824;int;6291456;10;now(), lib chrono;1,25216;1,6082789;1,56E+13;16,0828015;1,05%
